NOMBRE_ESTADO,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,PRI_PVEM,PRD_PT_MC,PRD_PT,PRD_MC,PT_MC,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
AGUASCALIENTES,152543.0,149705.0,60677.0,9243.0,11976.0,7768.0,33705.0,31826.0,17518.0,2979.0,1063.0,645.0,392.0,13426.0,493466.0,813251
BAJA CALIFORNIA,339508.0,339637.0,237550.0,17053.0,31657.0,24258.0,34889.0,106660.0,73501.0,15458.0,5174.0,2334.0,490.0,22232.0,1250401.0,2325378
BAJA CALIFORNIA SUR,75066.0,78835.0,34214.0,2594.0,5137.0,4651.0,4940.0,23321.0,14854.0,2972.0,863.0,486.0,97.0,5138.0,253168.0,430478
CAMPECHE,107881.0,113202.0,58164.0,2872.0,7552.0,11224.0,9707.0,33136.0,19024.0,3747.0,1528.0,1129.0,86.0,10036.0,379288.0,563908
CHIAPAS,325666.0,477313.0,399859.0,328087.0,63638.0,25569.0,47943.0,128102.0,100810.0,36309.0,5432.0,2469.0,381.0,89725.0,2031303.0,3017204
CHIHUAHUA,328048.0,486005.0,182597.0,22742.0,28773.0,17278.0,48219.0,109911.0,56222.0,11067.0,3666.0,1926.0,748.0,34189.0,1331391.0,2502665
COAHUILA,428998.0,379416.0,146846.0,13271.0,22496.0,12285.0,27833.0,72088.0,40595.0,7991.0,2215.0,1391.0,382.0,21612.0,1177419.0,1902873
COLIMA,101083.0,101773.0,41779.0,3527.0,7911.0,3847.0,4855.0,18376.0,11138.0,2257.0,681.0,396.0,109.0,6159.0,303891.0,472300
DISTRITO FEDERAL,844120.0,891077.0,1499539.0,40467.0,172159.0,99211.0,87332.0,326625.0,647154.0,108831.0,27262.0,14783.0,3940.0,90434.0,4852934.0,7226387
DURANGO,194052.0,255775.0,64340.0,7000.0,34808.0,6270.0,15407.0,57586.0,26744.0,7024.0,1120.0,1306.0,182.0,13094.0,684708.0,1145991
GUANAJUATO,944159.0,713288.0,204414.0,56175.0,24525.0,19389.0,62920.0,160019.0,37782.0,8152.0,2588.0,1124.0,805.0,68668.0,2304008.0,3863783
GUERRERO,153618.0,413622.0,445274.0,32352.0,42043.0,49076.0,20164.0,84225.0,87058.0,25608.0,9276.0,2209.0,221.0,45024.0,1409769.0,2345157
HIDALGO,215101.0,413592.0,271823.0,17822.0,28899.0,15239.0,50197.0,85591.0,72801.0,17409.0,4146.0,1663.0,312.0,29842.0,1224437.0,1862801
JALISCO,1098232.0,1051789.0,322176.0,47300.0,55124.0,224679.0,93506.0,263693.0,125892.0,12781.0,16701.0,12422.0,1500.0,82894.0,3408691.0,5266130
MEXICO,1250720.0,2229331.0,1472320.0,68400.0,138667.0,139309.0,160460.0,668397.0,462523.0,87395.0,28468.0,11033.0,3379.0,145107.0,6865509.0,10402701
MICHOACAN,337512.0,546271.0,361636.0,27659.0,26670.0,18310.0,34427.0,136372.0,77174.0,26080.0,5531.0,1714.0,1046.0,46697.0,1647099.0,3137372
MORELOS,157026.0,217307.0,228097.0,20623.0,27760.0,19784.0,19036.0,57803.0,67955.0,13156.0,4653.0,1872.0,299.0,20255.0,855626.0,1312857
NAYARIT,82970.0,178979.0,84652.0,5181.0,13279.0,7921.0,8907.0,37248.0,30965.0,6154.0,1668.0,1001.0,116.0,10808.0,469849.0,750184
NUEVO LEON,800099.0,540972.0,246613.0,16674.0,88464.0,18539.0,62159.0,109344.0,66680.0,15231.0,3065.0,2858.0,613.0,38503.0,2009814.0,3327147
OAXACA,290645.0,446548.0,468765.0,28768.0,48677.0,53495.0,18330.0,80334.0,92614.0,23305.0,6511.0,2316.0,440.0,43371.0,1604119.0,2587725
PUEBLA,640910.0,597056.0,433628.0,26924.0,107046.0,43039.0,56050.0,230404.0,210840.0,47700.0,9836.0,7138.0,781.0,69709.0,2481061.0,3918928
QUERETARO,288343.0,270449.0,129244.0,10446.0,15630.0,13467.0,20285.0,49831.0,26861.0,4671.0,1753.0,818.0,333.0,23671.0,855802.0,1281204
QUINTANA ROO,111303.0,130253.0,147497.0,7921.0,12731.0,7007.0,10362.0,40835.0,43829.0,11522.0,2566.0,900.0,248.0,10821.0,537795.0,925385
SAN LUIS POTOSI,346576.0,322412.0,147682.0,24064.0,34036.0,25586.0,32282.0,82321.0,40597.0,9899.0,3590.0,2372.0,587.0,45755.0,1117759.0,1766397
SINALOA,295585.0,436928.0,184094.0,13961.0,16805.0,13539.0,22584.0,100251.0,50643.0,9094.0,3293.0,1337.0,540.0,31361.0,1180015.0,1913036
SONORA,342214.0,347228.0,176428.0,9161.0,20681.0,13340.0,16125.0,73750.0,41046.0,9824.0,3246.0,1434.0,359.0,28775.0,1083611.0,1873476
TABASCO,65018.0,286878.0,468777.0,6039.0,16898.0,18447.0,5766.0,53466.0,102551.0,33081.0,6213.0,1012.0,148.0,26606.0,1090900.0,1530405
TAMAULIPAS,596359.0,397745.0,172842.0,12600.0,22007.0,14761.0,31393.0,79654.0,56352.0,9527.0,3073.0,1569.0,381.0,28900.0,1427163.0,2446314
TLAXCALA,98450.0,133516.0,119098.0,6587.0,17443.0,11084.0,15933.0,44144.0,49073.0,9764.0,2553.0,1162.0,90.0,11295.0,520192.0,814114
VERACRUZ,1203155.0,944255.0,694670.0,41637.0,54169.0,46289.0,50740.0,215432.0,185359.0,39938.0,11525.0,3843.0,877.0,85184.0,3577073.0,5332362
YUCATAN,394252.0,367665.0,126019.0,14569.0,13160.0,9159.0,18129.0,57850.0,21723.0,5237.0,1676.0,737.0,205.0,20970.0,1051351.0,1357813
ZACATECAS,122416.0,250397.0,88639.0,17001.0,32275.0,5765.0,21431.0,71257.0,23868.0,9230.0,1265.0,866.0,186.0,16850.0,661446.0,1076560
